COBACIA,ire_cs_hum
7761793,"5,00"
7761771,"0,00"
7761765,"0,00"
77617811,"0,00"
77617941,"5,00"
7761772,"0,00"
7761775,"0,00"
77617614,"0,00"
77617611,"5,00"
7761766,"0,00"
77617741,"0,00"
77617613,"0,00"
77617743,"0,00"
77617742,"0,00"
77617913,"5,00"
7761773,"0,00"
77617992,"5,00"
7761961,"5,00"
7761963,"0,00"
7761812,"0,00"
77617981,"0,00"
7761797,"0,00"
77617942,"0,00"
77617991,"0,00"
77617893,"5,00"
77617895,"0,00"
77614692,"0,00"
77614626,"0,00"
77614663,"0,00"
7761467,"4,10"
77617891,"0,00"
77617896,"0,00"
7761787,"0,00"
7761788,"0,00"
77614691,"0,00"
77617894,"0,00"
7763226,"0,00"
77614627,"0,00"
7761784,"0,00"
77632282,"0,00"
77617483,"0,00"
7761785,"0,00"
77632283,"0,00"
7761786,"0,00"
77617526,"0,00"
77632483,"0,00"
77632493,"0,00"
77632293,"0,00"
77632292,"0,00"
77632492,"0,00"
77617897,"0,00"
77617892,"0,00"
77618323,"5,00"
77618324,"5,00"
77618321,"5,00"
77618315,"5,00"
77618331,"5,00"
77618212,"0,00"
77618326,"0,00"
77618325,"0,00"
776183341,"0,00"
77618327,"0,00"
77618313,"0,00"
776183342,"0,00"
7761823,"0,00"
77618332,"0,00"
77618333,"0,00"
77618312,"0,00"
776172263,"0,00"
77618328,"0,00"
77618337,"0,00"
7761835,"0,00"
77618335,"0,00"
77618361,"0,00"
776172262,"0,00"
776183343,"0,00"
776183621,"0,00"
77617229,"0,00"
77618336,"0,00"
77618292,"0,00"
77618341,"0,00"
77618342,"0,00"
77618293,"0,00"
7761824,"0,00"
7761783,"5,00"
77617817,"5,00"
77617987,"0,00"
77617814,"0,00"
77617816,"0,00"
7763224,"0,00"
776175293,"0,00"
776179843,"0,00"
7761782,"0,00"
77617815,"0,00"
776175273,"0,00"
7761792,"0,00"
77617528,"0,00"
77617982,"0,00"
7761796,"0,00"
776175271,"0,00"
77617812,"0,00"
77617525,"0,00"
77617813,"0,00"
776175272,"0,00"
7761827,"5,00"
77618291,"0,00"
77618213,"0,00"
7761969,"0,00"
7761825,"0,00"
7761826,"0,00"
77618347,"0,00"
77618345,"0,00"
77618343,"0,00"
77618283,"0,00"
7762228,"0,00"
77622624,"0,00"
7762227,"0,00"
77618282,"0,00"
77622632,"0,00"
77622631,"0,00"
7762226,"0,00"
77622625,"0,00"
77618281,"0,00"
7762125,"0,00"
77582421,"2,70"
77582413,"3,40"
7758244,"4,10"
77582451,"4,10"
7758243,"4,10"
775823882,"4,10"
7758239,"0,00"
77582384,"0,00"
77582411,"0,00"
7758251,"0,00"
77582383,"2,70"
77582412,"0,00"
77582381,"3,40"
77582385,"0,00"
7758253,"0,00"
77582386,"0,00"
77582423,"0,00"
77582453,"0,00"
77582461,"0,00"
7758258,"4,10"
77582452,"4,10"
77582472,"0,00"
77582471,"0,00"
7758255,"0,00"
77582541,"0,00"
7758257,"0,00"
77582463,"0,00"
77582422,"0,00"
77582425,"0,00"
77582426,"2,00"
77582428,"0,00"
775824241,"0,00"
