Unnamed: 0,id,COBACIA,cod_setor,tipo_setor,cod_mun,mun_nm,uf,situacao_setor,disp_q95,dem_ret_ano,dem_acm,bal_perc,dmu_nu_poptotal,dmu_nu_popurbana,dmu_nu_poprural,ihu_pc_cobrede,classe_ish_mun,area_setor,area_otto,area_scbc,pop,pop_urb_scbc,pop_urb_bacia,ihu_rel,classe_ish_otto,disp_por_dem,fator_iminente,fator_pos_deficit,fator_de_risco_total,irri_arroz,irri_cafe,irri_cana,irri_oc,irri_total
55,56,77618693,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,603","0,002","0,069","11,366",172981,18362,,"0,812",Alto,"30,21045933","8,607971012","0,022",230,0,0,0,,8.798169980644026,0.004306198533333333,0.0,0.004306198533333333,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
56,57,77618746,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,03",0,0,"1,037",172981,18362,,"0,812",Alto,"30,21045933","7,190958538","7,117",230,0,0,0,,96.43201542912247,3.584563333333333e-05,0.0,3.584563333333333e-05,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
57,58,776187421,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,115","0,007","0,013","11,195",172981,18362,,"0,812",Alto,"30,21045933","8,596874443","0,002",230,0,0,0,,8.932559178204555,0.004177600833333334,0.0,0.004177600833333334,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
58,59,7761876,320010205000017,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,071","0,014","0,014","20,243",172981,18362,,"0,812",Alto,"21,14824693","17,03928558","0,737",329,0,0,0,,4.9399792520871415,0.01365930163333333,0.0,0.01365930163333333,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
59,60,77618745,320010205000017,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,118",0,"0,001","0,987",172981,18362,,"0,812",Alto,"21,14824693","5,903254563","0,009",329,0,0,0,,101.31712259371834,3.24723e-05,0.0,3.24723e-05,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
60,61,776187163,320010205000017,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,029","0,005","0,005","16,063",172981,18362,,"0,812",Alto,"21,14824693","7,070060083","0,074",329,0,0,0,,6.225487144369048,0.00860066563333333,0.0,0.00860066563333333,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
61,62,7761877,320010205000017,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"1,959","0,001","0,336","17,16",172981,18362,,"0,812",Alto,"21,14824693","1,827402027","1,419",329,0,"878,8317504",0,Alto,5.827505827505828,0.009815519999999998,0.0,0.009815519999999998,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
62,63,77618741,320010205000017,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,328","0,008","0,023","7,018",172981,18362,,"0,812",Alto,"21,14824693","8,876456731","8,493",329,0,0,0,,14.249073810202336,0.0016417441333333332,0.0,0.0016417441333333332,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
63,64,77618717,320010205000017,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"2,545","0,006","0,389","15,297",172981,18362,,"0,812",Alto,"21,14824693","8,001401319","0,123",329,0,0,0,,6.537229522128522,0.0077999403000000005,0.0,0.0077999403000000005,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
64,65,77618743,320010205000017,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,176","0,001","0,002","1,245",172981,18362,,"0,812",Alto,"21,14824693","3,878138721","0,035",329,0,0,0,,80.32128514056224,5.166750000000001e-05,0.0,5.166750000000001e-05,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
65,66,77618721,320010205000017,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,117","0,002","0,005","4,145",172981,18362,,"0,812",Alto,"21,14824693","7,645517396","0,175",329,0,0,0,,24.12545235223161,0.0005727008333333331,0.0,0.0005727008333333331,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
66,67,7761879,320010205000017,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"1,804","0,003","0,299","16,575",172981,18362,,"0,812",Alto,"21,14824693","5,412990806","0,066",329,0,"7944,053652",0,Alto,6.033182503770739,0.0091576875,0.0,0.0091576875,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
67,68,7761875,320010205000017,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"2,06","0,003","0,354","17,171",172981,18362,,"0,812",Alto,"21,14824693","7,532201575","7,343",329,0,"2,768224128",0,Alto,5.823772639916138,0.009828108033333331,0.0,0.009828108033333331,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
68,69,77618781,320010205000017,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,147","0,008","0,036","24,511",172981,18362,,"0,812",Alto,"21,14824693","12,35846499","0,888",329,0,"2617,085215",0,Alto,4.079800905715802,0.020026304033333327,0.0,0.020026304033333327,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
